0.5	10	0	59	256	False	17	230	False	
1.0	20	0	59	256	False	17	230	False	
1.5	30	0	59	256	False	17	230	False	
2.0	40	0	59	248	False	17	230	False	
2.5	50	0	59	248	False	17	230	False	
3.0	60	0	69	253	False	17	230	False	
3.5	70	0	70	253	False	17	230	False	
4.0	80	0	76	253	False	17	230	False	
4.5	90	0	77	249	False	17	230	False	
5.0	100	0	86	243	False	17	230	False	
5.5	110	0	86	235	False	13	223	False	
6.0	120	0	95	230	False	22	215	False	
6.5	130	0	100	224	False	31	210	False	
7.0	140	0	100	223	False	46	206	False	
7.5	150	0	100	223	False	59	211	False	
8.0	160	0	100	224	False	52	212	False	
8.5	170	0	99	231	False	33	217	False	
9.0	180	0	67	238	False	66	236	False	
9.5	190	0	54	253	False	57	251	False	
10.0	200	0	47	259	False	57	251	False	
10.5	210	0	46	270	False	45	269	False	
11.0	220	0	43	275	False	42	274	False	
11.5	230	0	43	275	False	42	274	False	
12.0	240	0	43	275	False	42	274	False	
12.5	250	0	43	275	False	42	274	False	
13.0	260	0	43	275	False	42	274	False	
13.5	270	0	43	275	False	42	274	False	
14.0	280	0	43	275	False	42	274	False	
14.5	290	0	43	275	False	42	274	False	
15.0	300	0	43	275	False	41	246	False	
15.5	310	0	43	275	False	57	243	False	
16.0	320	0	43	275	False	77	239	False	
16.5	330	0	43	275	False	98	246	False	
17.0	340	0	36	277	False	98	246	False	
17.5	350	0	36	277	False	98	246	False	
18.0	360	0	36	277	False	90	260	False	
18.5	370	0	24	273	False	81	258	False	
19.0	380	0	64	257	False	64	259	False	
19.5	390	0	52	261	False	52	261	False	
20.0	400	0	52	261	False	52	261	False	
20.5	410	0	52	261	False	52	261	False	
21.0	420	0	18	260	False	20	259	False	
21.5	430	0	18	260	False	20	259	False	
22.0	440	0	18	260	False	20	259	False	
22.5	450	0	27	258	False	20	259	False	
23.0	460	0	37	255	False	20	259	False	
23.5	470	0	60	249	False	70	226	False	
24.0	480	0	32	250	False	70	226	False	
24.5	490	0	24	240	False	70	226	False	
25.0	500	0	21	238	False	70	226	False	
25.5	510	0	21	238	False	70	226	False	
26.0	520	0	21	238	False	70	226	False	
26.5	530	0	21	238	False	70	226	False	
27.0	540	0	21	238	False	70	226	False	
27.5	550	0	96	214	False	98	215	False	
28.0	560	0	28	214	False	98	215	False	
28.5	570	0	50	200	False	112	200	False	
29.0	580	0	79	192	False	112	200	False	
29.5	590	0	108	195	False	112	200	False	
30.0	600	0	100	203	False	151	192	False	
30.5	610	0	97	210	False	171	205	False	
31.0	620	0	98	209	False	167	217	False	
31.5	630	0	98	209	False	122	243	False	
32.0	640	0	98	209	False	58	260	False	
32.5	650	0	98	209	False	28	261	False	
33.0	660	0	95	211	False	99	210	False	
33.5	670	0	95	211	False	99	210	False	
34.0	680	0	95	211	False	19	232	False	
34.5	690	0	95	211	False	28	232	False	
35.0	700	0	95	211	False	31	228	False	
35.5	710	0	109	211	False	35	227	False	
36.0	720	0	110	207	False	41	226	False	
36.5	730	0	116	209	False	44	225	False	
37.0	740	0	120	203	False	50	217	False	
37.5	750	0	120	203	False	50	217	False	
38.0	760	0	116	197	False	43	219	False	
38.5	770	0	116	197	False	43	219	False	
39.0	780	0	119	195	False	43	219	False	
39.5	790	0	120	188	False	43	219	False	
40.0	800	0	120	188	False	43	219	False	
40.5	810	0	120	188	False	43	219	False	
41.0	820	0	120	188	False	43	219	False	
41.5	830	0	110	182	False	46	218	False	
42.0	840	0	109	183	False	50	216	False	
42.5	850	0	113	184	False	65	212	False	
43.0	860	0	113	184	False	83	214	False	
43.5	870	0	113	184	False	99	211	False	
44.0	880	0	110	182	False	118	210	False	
44.5	890	0	114	178	False	139	205	False	
45.0	900	0	120	184	False	152	208	False	
45.5	910	0	111	193	False	164	211	False	
46.0	920	0	17	236	False	94	277	False	
